source_relative_path	image_relative_path	sha256	design_note
nouns_classified_1973/B01-HUM__Humanoid/noun-0000__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-scarlet-cap-warden.png	34b2917612061d1174e3cce4250c35534fef15bc86e576df55d81a3c8612fa53	Stepped scarlet cap, amber LCD shell, emerald block tunic, and dark modular limbs.
nouns_classified_1973/B01-HUM__Humanoid/noun-0053__head-hair.png	B01-HUM__Humanoid/aachat-forge-humanoid-sunlit-fringe-messenger.png	e5466047e058bb86441a0705615ce2d9f0735d9d1fa18e221c9ad74eaa5eff47	Amber modular bob-shell courier in a wine-magenta tunic with charcoal satchel
nouns_classified_1973/B01-HUM__Humanoid/noun-0350__head-hair.png	B01-HUM__Humanoid/aachat-forge-humanoid-amber-fringe-conductor.png	0ac2d77d235ad06bb21d9392b355033d08538c6e4505423929fb3d2c601e48a1	Oversized stepped amber fringe and charcoal conductor uniform with a small yellow baton, rebuilt as coarse square 3D modules around the fixed LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-0391__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-scarlet-cap-gardener.png	0f00300820f4324d18065e14a0df233966c7e87425afc277ffed3144ae6ec3b9	Scarlet stepped cap, cream beard framing, navy workwear, warm brown boots, and a small modular garden trowel.
nouns_classified_1973/B01-HUM__Humanoid/noun-0404__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-patchwork-cap-keeper.png	697e1c9f7910a6670cb971857ca342f9704b8d4081631c15c0f6765b17bf146b	Red-orange pointed cap, side ear blocks, green patchwork tunic, and magenta stitch accents rebuilt as coarse square modules around a large aachat LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-0444__head-tooth.png	B01-HUM__Humanoid/aachat-forge-humanoid-ivory-molar-envoy.png	f8b419b04a60cf1278ad1758211d81775bd5d3c732d5018f861fc1bf2d607bfe	Broad ivory molar crown and compact royal-blue ceremonial uniform with restrained gold square details, rebuilt as coarse square 3D modules around the fixed LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-0497__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-vermilion-cap-weaver.png	4be73dab25e2d9310800468f336c85e30e14ed584d4070bfb16f4abf3c60e00e	Vermilion stepped cap, green modular tunic, cream trim, blue-violet woven sash, and a compact wooden shuttle.
nouns_classified_1973/B01-HUM__Humanoid/noun-0517__head-gnome.png	B01-HUM__Humanoid/aachat-forge-humanoid-scarlet-belt-tailor.png	e4c531c1d67c9f14b2ed2c6acf9e77943ee5d8e9c246ba5cb67ab66c162a371f	Stepped scarlet cap, burnt-orange work tunic, charcoal belt with three square fasteners, pale seam, and lime-magenta trim around a large integrated aachat LCD.
nouns_classified_1973/B01-HUM__Humanoid/noun-0573__head-thumbsup.png	B01-HUM__Humanoid/aachat-forge-humanoid-golden-thumb-signalman.png	25e449c88dd779a9dda95dd941a86e55b204b2de5bb23e3cacd1170d5911f00b	Golden thumbs-up silhouette rebuilt as a stepped LCD head shell with a raised thumb crest, compact charcoal signal uniform, and restrained cobalt fasteners.
nouns_classified_1973/B01-HUM__Humanoid/noun-0716__head-lips.png	B01-HUM__Humanoid/aachat-forge-humanoid-coral-loop-dancer.png	94657ad2bf423d53638d90dc0505036ba4316e05282dc65ed15b8e256757326b	Wide coral module loops frame the LCD as ornaments, with a peach dance tunic, magenta-white bands, and a small ribbon wand.
nouns_classified_1973/B01-HUM__Humanoid/noun-0849__head-thumbsup.png	B01-HUM__Humanoid/aachat-forge-humanoid-golden-thumb-greeter.png	5518692c9f1be1f7bb358a01d3faa923bc103fb695e6156920ea3f381ae769cd	Golden thumbs-up crest integrated into the LCD head shell, red side band, orange-to-rust striped body, pale seam, and charcoal-soled modular boots.
nouns_classified_1973/B01-HUM__Humanoid/noun-0911__head-hair.png	B01-HUM__Humanoid/aachat-forge-humanoid-copper-bob-steward.png	3a8b4962dddeb4fb8080291c3b8eff2c1833975b7cc1b26f799820bc2cd48446	Straight copper-gold bob silhouette and vivid vermilion steward uniform with sparse gold tabs and an abstract stepped chest tile, rebuilt around the fixed LCD.
